link,type,location,price,views
https://www.digitalrenter.com/en/Studio/Mile%204/Limbe/studios-at-rong-soon-mansion-291,Studio,"Mile 4, Limbe","55,000 FCFA",697
https://www.digitalrenter.com/en/Guest%20House/Check%20Point/Buea/home-away-from-home-285,"Home away  - 
				
		  		Guest House","Check Point, Buea",  ,322
https://www.digitalrenter.com/en/Guest%20House/Check%20Point/Buea/home-away-from-home-285,"Home away  - 
				
		  		Guest House","Check Point, Buea",,322
https://www.digitalrenter.com/en/Single%20Room/Bonduma/Buea/nice-room-close-to-the-road-224,Single Room,"Bonduma, Buea","30,000 FCFA",533
https://www.digitalrenter.com/en/Single%20Room/Paramount%20-%20St%20Clair/Buea/cite-room-for-rent-143,Single Room,"Paramount - St Clair, Buea","25,000 FCFA",846
https://www.digitalrenter.com/en/Apartment/Sandpit/Buea/grandiose-apartment-for-sale-53,House - apartment(s),"Sandpit, Buea",  ,2283
https://www.digitalrenter.com/en/Apartment/Sandpit/Buea/grandiose-apartment-for-sale-53,House - apartment(s),"Sandpit, Buea",,2283
https://www.digitalrenter.com/en/Apartment/Bomaka/Buea/elegant-apartments-46,Apartment,"Bomaka, Buea","70,000 FCFA",2006
https://www.digitalrenter.com/en/Guest%20House/Bonduma/Buea/parklane-solutions-119,"Parklane S - 
				
		  		Guest House","Bonduma, Buea",,1820
https://www.digitalrenter.com/en/Single%20Room/Molyko/Buea/hostel-apmt-xtra-space-67,House - single room(s),"Molyko, Buea","240,000,000 FCFA",1651
https://www.digitalrenter.com/en/Apartment/Bomaka/Buea/eloquent-apartment-47,Apartment,"Bomaka, Buea","65,000 FCFA",1644
https://www.digitalrenter.com/en/Apartment/Mile%202/Limbe/apartment-in-fenced-compound-131,Apartment,"Mile 2, Limbe",,1595
https://www.digitalrenter.com/en/Single%20Room/Malingo/Buea/beautiful-student-room-34,Single Room,"Malingo, Buea","485,000 FCFA",1465
https://www.digitalrenter.com/en/Apartment/Check%20Point/Buea/big-beautiful-fenced-apartment-74,Apartment,"Check Point, Buea","100,000 FCFA",1456
https://www.digitalrenter.com/en/Apartment/Molyko/Buea/apartment-at-strategic-position-96,Apartment,"Molyko, Buea",  ,1435
https://www.digitalrenter.com/en/Apartment/Molyko/Buea/apartment-at-strategic-position-96,Apartment,"Molyko, Buea",,1435
https://www.digitalrenter.com/en/Single%20Room/Malingo/Buea/nice-spacious-room-44,Single Room,"Malingo, Buea","21,000 FCFA",1351
https://www.digitalrenter.com/en/Apartment/Malingo/Buea/spacious-apartment-45,Apartment,"Malingo, Buea","80,000 FCFA",1338
https://www.digitalrenter.com/en/Studio/Muea/Muea/studio-inside-irish-park-121,Studio,Muea,"35,000 FCFA",1284
https://www.digitalrenter.com/en/Apartment/Bonduma/Buea/new-spacious-apartment-40,Apartment,"Bonduma, Buea","100,000 FCFA",1273
https://www.digitalrenter.com/en/Studio/Bomaka/Buea/elegant-studio-48,Studio,"Bomaka, Buea","50,000 FCFA",1245
https://www.digitalrenter.com/en/Studio/Bomaka/Buea/awesome-studio-28,Studio,"Bomaka, Buea","50,000 FCFA",1243
https://www.digitalrenter.com/en/Store/Malingo/Buea/store-for-rent-59,Store,"Malingo, Buea","25,000 FCFA",1241
https://www.digitalrenter.com/en/Duplex/Muea/Muea/amazing-duplex-7,Duplex,Muea,"300,000 FCFA",1241
https://www.digitalrenter.com/en/Studio/Muea/Muea/comfortable-home-6,Studio,Muea,"40,000 FCFA",1227
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/single-room-for-rent-in-molyko-84,Single Room,"Dirty South, Buea","450,000 FCFA",1218
https://www.digitalrenter.com/en/Studio/Malingo/Buea/comfortable-studio-33,Studio,"Malingo, Buea","55,000 FCFA",1218
https://www.digitalrenter.com/en/Single%20Room/Molyko/Buea/single-room-with-external-bath-195,Single Room,"Molyko, Buea","2,000 FCFA",256
https://www.digitalrenter.com/en/Studio/Bakweri%20Town/Buea/a-studio-for-rent-204,Studio,"Bakweri Town, Buea","50,000 FCFA",254
https://www.digitalrenter.com/en/Studio/Check%20Point/Buea/studio-to-let-287,Studio,"Check Point, Buea","35,000 FCFA",248
https://www.digitalrenter.com/en/Single%20Room/Malingo/Buea/room-and-toilet-in-cool-env-189,Single Room,"Malingo, Buea","2,500 FCFA",237
https://www.digitalrenter.com/en/Apartment/Bakweri%20Town/Buea/apartment-to-let-243,Apartment,"Bakweri Town, Buea","100,000 FCFA",229
https://www.digitalrenter.com/en/Studio/Santa%20Barbara/Buea/studio-to-let-305,Studio,"Santa Barbara, Buea","40,000 FCFA",210
https://www.digitalrenter.com/en/Apartment/Buea/Buea/3-bedrooms-apartment-to-let-238,Apartment,Buea,"70,000 FCFA",207
https://www.digitalrenter.com/en/Apartment/Santa%20Barbara/Buea/apartment-to-let-303,Apartment,"Santa Barbara, Buea","90,000 FCFA",154
https://www.digitalrenter.com/en/Apartment/Buea%20Town/Buea/a-newly-constructed-studio-343,Apartment,"Buea Town, Buea","45,000 FCFA",2
https://www.digitalrenter.com/en/land/Limbe/Limbe/vast-estate-along-limbe-road-4sale-64,plot of land for sale,Limbe,  ,2163
https://www.digitalrenter.com/en/land/Limbe/Limbe/vast-estate-along-limbe-road-4sale-64,plot of land for sale,Limbe,,2163
